id,from,to,voltage,reactance,resistance,circuits,pmax
701,286,287,220,3.957717243,0.729704117,1,490
702,407,406,220,1.866030302,0.344049337,2,490
703,164,163,220,2.343793746,0.432136972,1,490
704,289,288,220,13.12500718,2.419923198,1,490
705,289,288,380,10.66521509,1.230601741,1,1700
706,418,417,220,18.16555935,3.349275005,2,490
707,333,330,380,14.41387574,1.663139509,2,2300
708,330,329,380,13.83839177,1.596737512,2,2300
711,360,4,380,6.632765674,0.765319116,2,1700
720,439,393,380,8.611650667,0.993652,1,1700
730,440,207,220,3.341797289,0.616143875,2,490
732,211,215,380,6.975237266,0.804835069,2,1700
737,444,20,380,3.206050605,0.369928916,1,1700
738,444,446,380,1.911456802,0.220552708,2,1700
743,445,188,380,14.54973774,1.678815893,1,1700
744,445,187,380,7.342232743,0.847180701,1,1700
745,186,445,380,1.66081922,0.191632987,2,1700
746,447,70,220,2.456302924,0.452880852,1,490
747,188,445,380,14.54535755,1.678310486,1,1700
748,449,195,380,4.513166824,0.520750018,1,1700
767,256,74,380,4.87574596,0.562586072,1,1700
768,273,258,380,6.11973239,0.706122968,2,1700
781,455,404,380,7.049770081,0.813435009,1,1700
861,299,463,380,1.636540918,0.188831644,2,1700
865,373,358,380,44.17233754,5.096808178,2,1700
866,375,373,380,14.26531872,1.645998314,2,1700
869,252,34,220,0.332810956,0.06136202,2,490
870,239,464,380,0.951328564,0.10976868,2,1700
871,242,464,380,4.526383134,0.522274977,2,1700
872,464,26,380,1.643926856,0.189683868,2,1700
874,153,176,380,4.348159133,0.501710669,1,1700
877,17,37,380,3.804358894,0.438964488,1,1700
878,66,466,380,10.81611092,1.248012798,1,1700
879,466,37,380,3.824683121,0.441309591,1,1700
880,466,145,380,3.442643119,0.397228052,1,1700
897,256,258,380,3.441562446,0.397103359,2,1700
4904,3006,268,220,5.162196458,0.951779972,1,490
5782,3676,178,220,7.195995832,1.326761732,2,490
